book_id,goodreads_book_id,title,authors,average_rating,ratings_count,to_read_count,tag_list
19,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,1766803,761,"fantasy, abandoned, unfinished, movies, british-literature"
20,7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,1719760,682,"currently-reading, love-triangle, action-adventure, distopian, dystopian-fiction"
21,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,1735368,427,"to-read, fantasy-scifi, audio-books, have, boarding-school"
22,12232938,The Lovely Bones,Alice Sebold,3.77,1605173,925,"to-read, american, unfinished, dark, mysteries"
23,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,1779331,408,"fantasy, ya-fiction, childhood-favorites, shelfari-favorites, rereads"
24,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,431,"fantasy, favorite-series, ebook, to-buy, kids-books"
25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,1746574,484,"favorites, scifi-fantasy, all-time-favourites, juvenile, read-in-2015"
26,968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,1447148,447,"fiction, 2004, movies, movie, american-literature"
27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,1678823,438,"to-read, scifi-fantasy, romance, youth, kindle"
28,7624,Lord of the Flies,William Golding,3.64,1605019,1148,"classics, historical-fiction, to-read-classics, to-reread, read-in-high-school"
29,18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,1628519,348,"to-read, rory-gilmore-challenge, stand-alone, renaissance, 9th-grade"
30,8442457,Gone Girl,Gillian Flynn,4.03,512475,801,"to-read, gillian-flynn, on-my-bookshelf, mystery-suspense, loved"
31,4667024,The Help,Kathryn Stockett,4.45,1531753,1417,"to-read, racism, movie, the-help, racial-discrimination"
32,890,Of Mice and Men,John Steinbeck,3.84,1467496,886,"classics, kindle, read-in-2015, read-in-2016, tragedy"
33,930,Memoirs of a Geisha,Arthur Golden,4.08,1300209,1094,"to-read, modern-fiction, other, english, borrowed"
34,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,1338493,450,"to-read, bookclub, nope, dropped, loved"
35,865,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,1299566,1576,"to-read, inspiring, must-read, coelho, favourite"
36,3636,"The Giver (The Giver, #1)",Lois Lowry,4.12,1296825,1211,"to-read, re-reads, drama, read-in-english, read-in-2011"
37,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,1531800,437,"fantasy, childrens-literature, cs-lewis, books, childhood-favourites"
38,14050,The Time Traveler's Wife,Audrey Niffenegger,3.95,746287,1130,"to-read, faves, movies, movie, english"
39,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,1319204,1619,"to-read, romance, book-club, sci-fi-and-fantasy, e-book"
40,19501,"Eat, Pray, Love",Elizabeth Gilbert,3.51,1181647,862,"to-read, novel, book-club-reads, travel-writing, drama"
41,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.23,1366265,863,"to-read, my-favorites, funny, my-library, humor"
42,1934,"Little Women (Little Women, #1)",Louisa May Alcott,4.04,1257121,695,"to-read, general-fiction, reread, audiobooks, favorite"
43,10210,Jane Eyre,"Charlotte Brontë, Michael Mason",4.1,1198557,964,"to-read, faves, bronte, read-in-2014, favourite-books"
44,15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.06,1053403,445,"to-read, tear-jerkers, read-in-2014, adult-romance, stand-alone"
45,4214,Life of Pi,Yann Martel,3.88,1003228,1717,"to-read, favorite, read-in-2012, audio-books, audible"
46,43641,Water for Elephants,Sara Gruen,4.07,1068146,1325,"to-read, great-depression, books-i-have, read-in-2008, library"
47,19063,The Book Thief,Markus Zusak,4.36,1159741,2772,"favorites, stand-alone, unfinished, australian, didn-t-finish"
48,4381,Fahrenheit 451,Ray Bradbury,3.97,570498,817,"to-read, dystopias, american-lit, classic-fiction, read-in-2014"
49,49041,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,1149630,242,"to-read, ya-lit, have, my-bookshelf, shifters"
50,30119,Where the Sidewalk Ends,Shel Silverstein,4.29,1016888,269,"to-read, shelfari-favorites, favourites, childrensbooks, favorite-children-s-books"
51,256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.12,1154031,1047,"favorites, angels-and-demons, 4-stars, faves, fantasy-sci-fi"
52,428263,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,1134511,259,"young-adult, ya-paranormal, on-my-shelf, have, my-bookshelf"
53,113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,1104021,625,"fantasy, shelfari-favorites, middle-grade, elves, epic"
54,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.2,936782,1339,"to-read, read-in-2014, 5-stars, read-in-2013, to-re-read"
55,5129,Brave New World,Aldous Huxley,3.97,1022601,1441,"to-read, science-fiction-fantasy, futuristic, to-reread, ebook"
56,1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,3.7,1070245,287,"to-read, paperback, childhood, séries, book-club"
57,37435,The Secret Life of Bees,Sue Monk Kidd,4.01,916189,998,"to-read, friendship, finished, audio-books, movie"
58,2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,953758,525,"currently-reading, 1001-books-to-read-before-you-die, literary, american-classics, ebook"
59,24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,1064521,270,"to-read, books-from-my-childhood, my-library, nostalgia, childhood-memories"
60,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,867553,1129,"to-read, book-club-read, gilmore-girls, british, books-to-buy"
61,22557272,The Girl on the Train,Paula Hawkins,3.88,1008778,1435,"to-read, murder-mystery, general-fiction, borrowed, stand-alone"
62,119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.94,953970,694,"to-read, children-s-lit, audio-books, favorite, ya-lit"
63,6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,899195,969,"classics, school-books, tbr, books, dnf"
64,10917,My Sister's Keeper,Jodi Picoult,4.06,863879,557,"to-read, audio, books-that-made-me-cry, literary-fiction, ebook"
65,4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.06,846488,1608,"to-read, dystopian, audio, classic-fiction, dystopia"
66,18405,Gone with the Wind,Margaret Mitchell,4.28,873981,1158,"to-read, rory-gilmore-challenge, margaret-mitchell, to-read-fiction, literary-fiction"
67,128029,A Thousand Splendid Suns,Khaled Hosseini,4.34,818742,1352,"to-read, finished, international, culture, must-read"
68,22628,The Perks of Being a Wallflower,Stephen Chbosky,4.21,888806,1257,"favorites, favs, ya-books, stand-alones, teen-fiction"
69,11735983,"Insurgent (Divergent, #2)",Veronica Roth,4.07,836362,716,"to-read, on-my-shelf, english, 2012-reads, dnf"
70,375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,813439,1082,"to-read, my-library, adult-fiction, sf-fantasy, reread"
71,18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,808589,683,"classics, own-it, female-author, favorite-books, school-reading"
72,11588,The Shining (The Shining #1),Stephen King,4.17,791850,587,"fiction, general-fiction, literature, rory-gilmore, 5-stars"
73,1656001,"The Host (The Host, #1)",Stephenie Meyer,3.84,749780,690,"to-read, audio, book-to-movie, borrowed, faves"
74,99561,Looking for Alaska,John Green,4.09,783470,1101,"favorites, read-2015, on-my-bookshelf, own-it, favs"
75,227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,736498,348,"to-read, borrowed, modern, ebook, romantic-comedy"
76,14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,738894,762,"fiction, read-in-2015, history, read-in-2016, family"
77,38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",3.93,747445,260,"to-read, classic, favorite-books, read-in-school, book-to-movie"
78,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.7,665930,331,"to-read, womens-fiction, modern-fiction, modern, kindle"
79,1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,670326,561,"to-read, philosophy, books-for-school, general-fiction, home-library"
80,157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,738757,669,"to-read, for-school, francais, book-club, high-school"
81,7445,The Glass Castle,Jeannette Walls,4.24,621099,928,"to-read, finished, re-read, summer-reading, ebook"
82,1845,Into the Wild,Jon Krakauer,3.94,647684,714,"to-read, abandoned, non-fic, books, borrowed"
83,1953,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,637412,1082,"to-read, e-books, europe, british-lit, own-it"
84,7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.96,447833,281,"to-read, suspense-thriller, fantasy-scifi, literature, shelfari-favorites"
85,370493,The Giving Tree,Shel Silverstein,4.38,702332,299,"to-read, nostalgia, read-as-a-child, children-s-fiction, my-books"
86,32542,A Time to Kill,John Grisham,4.03,597775,214,"to-read, book-club, historical-fiction, have, books"
87,1617,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,691231,882,"to-read, biographies-memoirs, audio, germany, shelfari-favorites"
88,6442769,Paper Towns,John Green,3.88,461311,539,"young-adult, book-to-movie, paper-towns, 3-stars, e-books"
89,21787,The Princess Bride ,William Goldman,4.25,628637,1458,"favourites, teen, science-fiction, childhood-favorites, standalone"
90,231804,The Outsiders,S.E. Hinton,4.06,659248,358,"to-read, made-me-cry, kids, banned-books, american"
91,6186357,"The Maze Runner (Maze Runner, #1)",James Dashner,4.02,719925,1009,"to-read, wish-list, book-to-movie, fantasy-sci-fi, reviewed"
92,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",3.93,524191,782,"to-read, behavioral, popular, management, general-non-fiction"
93,2998,The Secret Garden,Frances Hodgson Burnett,4.12,639357,439,"to-read, childrens-classics, audio, adventure, read-as-a-kid"
94,320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,490565,1460,"classics, school, world-literature, translation, drama"
95,5297,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,590014,1208,"to-read, paranormal, ireland, 1001-books-to-read-before-you-die, audio"
96,13536860,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.88,387290,175,"favorites, book-club, books-read-in-2012, abandoned, read-in-2014"
97,17245,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,618973,612,"to-read, gothic-horror, abandoned, terror, suspense"
98,5060378,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,563994,495,"to-read, action, english, murder-mystery, e-books"
99,11857408,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.87,552059,226,"to-read, adult-books, intense, boring, angsty"
100,7244,The Poisonwood Bible,Barbara Kingsolver,4.02,546502,1049,"to-read, 20th-century, read-for-school, recommended, cultural"
101,4137,Me Talk Pretty One Day,David Sedaris,3.97,495736,821,"to-read, short-story, biography-autobiography, read-in-2014, favorite"
102,19543,Where the Wild Things Are,Maurice Sendak,4.22,620618,192,"to-read, elementary, preschool, childhood-memories, school"
103,7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,555822,1064,"classics, to-re-read, europe, e-books, shelfari-favorites"
104,6288,The Road,Cormac McCarthy,3.95,504793,1023,"currently-reading, shelfari-favorites, borrowed, read-in-2015, wish-list"
105,18710190,"Allegiant (Divergent, #3)",Veronica Roth,3.63,463257,513,"to-read, e-book, completed-series, english, read-in-2016"
106,9418327,Bossypants,Tina Fey,3.94,506250,1051,"to-read, borrowed, 2011-reads, read-2014, memoir-bio"
107,3473,A Walk to Remember,Nicholas Sparks,4.15,546948,280,"to-read, already-read, nicholas-sparks, relationships, read-in-2015"
108,9416,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.61,543658,225,"to-read, dnf, books, book-to-movie, read-in-2012"
109,24280,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,513407,1432,"to-read, europe, tbr, 5-stars, movies"
110,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,523303,584,"to-read, fantasy-fiction, historical, fiction-fantasy, american"
111,10441,The Memory Keeper's Daughter,Kim Edwards,3.64,501430,759,"fiction, couldn-t-finish, audio-book, read-in-2010, gave-up-on"
112,15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,587647,913,"to-read, suicide, maybe, 2014-books, loved"
113,168668,Catch-22,Joseph Heller,3.98,563265,1840,"to-read, gave-up-on, on-hold, must-read, dnf"
114,6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,556518,386,"to-read, finished, american, tear-jerker, audio"
115,2187,Middlesex,Jeffrey Eugenides,3.98,488243,1285,"to-read, oprah, detroit, shelfari-favorites, pulitzers"
116,24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,555359,320,"classics, middle-grade, own-it, re-read, kids-books"
117,18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,615907,815,"to-read, childrens-literature, kid-lit, children-young-adult, childhood-reads"
118,7763,The Joy Luck Club,Amy Tan,3.9,515090,493,"to-read, rory-gilmore-reading-list, to-read-fiction, modern-classics, fiction-general"
119,38447,The Handmaid's Tale,Margaret Atwood,4.06,607889,1499,"to-read, ebooks, 1001-books-to-read-before-you-die, my-library, read-for-school"
120,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.75,525706,219,"to-read, audiobooks, young-adult-books, kids, travel"
121,7604,Lolita,"Vladimir Nabokov, Craig Raine",3.88,469836,1313,"to-read, to-reread, controversial, banned, reread"
122,37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,506900,866,"favorites, re-read, favorite, sci-fi-and-fantasy, favorite-books"
123,5358,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,488269,163,"to-read, lawyers, own-it, southern, mysteries-thrillers"
124,7937843,Room,Emma Donoghue,4.03,511360,1071,"to-read, literary, own-it, e-book, default"
125,1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,515820,310,"to-read, read-in-2016, the-classics, to-re-read, read-in-2014"
126,234225,Dune (Dune Chronicles #1),Frank Herbert,4.19,485032,862,"to-read, science-fiction-and-fantasy, to-reread, to-read-fiction, i-own"
127,2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,490504,741,"to-read, finished, pop-science, behavior, entrepreneurship"
128,11084145,Steve Jobs,Walter Isaacson,4.09,560715,740,"to-read, finished, read-in-2011, e-books, ibooks"
129,332613,One Flew Over the Cuckoo's Nest,Ken Kesey,4.18,491642,1181,"to-read, rory-gilmore-challenge, modern, own-it, historical-fiction"
130,2165,The Old Man and the Sea,Ernest Hemingway,3.73,520630,598,"classics, drama, wish-list, to-read, pulitzer-winners"
131,4395,The Grapes of Wrath,John Steinbeck,3.92,322321,658,"to-read, pulitzer-prize-winners, unfinished, read-in-school, abandoned"
132,3431,The Five People You Meet in Heaven,Mitch Albom,3.9,449501,501,"to-read, faves, bought, maybe, inspirational-fiction"
133,8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.23,502247,409,"favorites, classics-to-read, read-in-2015, my-favorites, friendship"
134,3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,593173,429,"fantasy, own-it, contemporary, fantasy-sci-fi, favs"
135,62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,469022,567,"to-read, fantasy-fiction, historical, dark-fantasy, e-books"
136,137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.79,465676,222,"fiction, southern-literature, lit, home-library, wish-list"
137,10964,"Outlander (Outlander, #1)",Diana Gabaldon,4.2,515547,1172,"to-read, e-book, shelfari-favorites, books-i-own, gave-up-on"
138,12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,509883,519,"school, women, feminism, rory-gilmore, have"
139,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,3.89,613674,1650,"fantasy, bookclub, photography, own-it, read-2015"
140,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",4.2,443951,546,"to-read, adventure, read-2012, abandoned, the-millenium-trilogy"
141,18007564,The Martian,Andy Weir,4.39,423344,844,"sci-fi, favorite-books, borrowed, recommended, humour"
142,5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,4.29,462517,1014,"historical-fiction, oprah, recommended, europe, classic"
143,18143977,All the Light We Cannot See,Anthony Doerr,4.31,470001,1967,"to-read, literary, 5-stars, blindness, holocaust"
144,8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.4,487775,883,"to-read, bio, default, my-favorites, finished"
145,976,Deception Point,Dan Brown,3.67,455610,257,"to-read, have, american-literature, literature, other"
146,17333223,The Goldfinch,Donna Tartt,3.87,396756,1342,"to-read, gave-up, tbr, never-finished, new-york-city"
147,1217100,Thirteen Reasons Why,Jay Asher,4.02,463783,632,"favorites, school, my-favorites, jay-asher, dark"
148,2865,Girl with a Pearl Earring,Tracy Chevalier,3.85,467577,464,"to-read, women, high-school, wish-list, vermeer"
149,4374400,"If I Stay (If I Stay, #1)",Gayle Forman,3.96,503527,659,"to-read, read-in-english, contemporary-fiction, dnf, 2015-reads"
150,4989,The Red Tent,Anita Diamant,4.16,424981,686,"to-read, book-club-read, fiction-to-read, lit, classic"
151,28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.23,514932,221,"to-read, childhood, childrens-books, fantasy-sci-fi, middle-school"
152,5526,Dear John,Nicholas Sparks,4.01,441062,192,"to-read, bookshelf, chicklit, read-in-2012, my-bookshelf"
153,1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.21,541117,356,"to-read, ya-books, my-bookshelf, love, lgbt"
154,8852,Macbeth,William Shakespeare,3.88,496018,299,"currently-reading, classic-fiction, read-more-than-once, magic, university"
155,15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.42,480446,322,"to-read, audio, paperback, my-bookshelf, tbr"
156,42156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.83,403601,295,"to-read, did-not-finish, borrowed, read-in-2014, young-adult"
157,23772,Green Eggs and Ham,"Dr. Seuss, לאה נאור",4.29,457475,150,"childrens, 5-stars, childrens-fiction, humour, for-the-kids"
158,6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",4.1,453959,205,"fiction, children-ya, nostalgia, childrens-classics, bbc-big-read"
159,2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,508214,248,"to-read, percy-jackson-series, middle-school, borrowed, audio"
160,2623,Great Expectations,Charles Dickens,3.75,459247,618,"to-read, general-fiction, audible, required-reading, to-re-read"
161,18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.51,463959,330,"to-read, classic-literature, home-library, elves, paperback"
162,49552,The Stranger,"Albert Camus, Matthew    Ward",3.96,420600,634,"classics, classics-to-read, classic-lit, favorite-books, novella"
163,7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.35,271576,121,"to-read, borrowed, need-to-buy, awesome, read-in-2017"
164,15745753,Eleanor & Park,Rainbow Rowell,4.11,514312,921,"to-read, stand-alones, friendship, e-books, novels"
165,13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.1,428186,637,"fantasy, tbr, have, bookshelf, read-2012"
166,7735333,"Matched (Matched, #1)",Ally Condie,3.68,511815,682,"to-read, want-to-read, read-in-2015, didn-t-finish, read-2013"
167,4407,"American Gods (American Gods, #1)",Neil Gaiman,4.11,378019,1188,"fantasy, modern-fantasy, i-own, british, scifi"
168,149267,The Stand,"Stephen King, Bernie Wrightson",4.34,438832,548,"to-read, scifi-fantasy, end-of-the-world, science-fiction-fantasy, 20th-century"
169,6400090,The Last Song,Nicholas Sparks,4.14,424637,208,"to-read, on-my-shelf, my-bookshelf, audio, sad"
170,11125,Digital Fortress,Dan Brown,3.6,423019,226,"to-read, american-literature, have, audio, other"
171,6969,Emma,"Jane Austen, Fiona Stafford",3.99,459826,648,"currently-reading, tbr, rory-gilmore, reread, humor"
172,15823480,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,297472,999,"classics, all-time-favorites, the-classics, classici, audible"
173,227463,A Clockwork Orange,Anthony Burgess,3.98,431195,1292,"to-read, literary, need-to-buy, classic-fiction, scifi-fantasy"
174,1812457,The Shack,William Paul Young,3.74,419539,377,"to-read, favourites, wish-list, forgiveness, could-not-finish"
175,4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.5,397500,246,"favorites, own-it, funny, faves, fantasy-sci-fi"
176,18342,It,Stephen King,4.18,292592,267,"to-read, the-king, shelfari-favorites, read-in-2015, movie"
177,7144,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",4.18,380903,902,"fiction, general-fiction, to-read-fiction, own-it, favourite"
178,6514,The Bell Jar,Sylvia Plath,3.98,401605,1104,"to-read, abandoned, 2016-reads, 5-stars, lit"
179,252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.07,392103,370,"to-read, kindle, high-school, audible, biographical"
180,52036,Siddhartha,"Hermann Hesse, Hilda Rosner",3.99,372099,475,"to-read, deutsch, classics-to-read, rory-gilmore, literary"
181,168642,In Cold Blood,Truman Capote,4.05,381652,836,"to-read, high-school, americana, read-in-2015, truman-capote"
182,6304335,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",3.76,436093,641,"to-read, e-book, maybe, audio-books, read-in-2011"
183,7171637,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,490890,857,"favorites, angels-and-demons, ya-books, my-library, default"
184,39988,Matilda,"Roald Dahl, Quentin Blake",4.29,440743,188,"to-read, children-young-adult, adventure, elementary, literature"
185,9361589,The Night Circus,Erin Morgenstern,4.03,429543,1502,"currently-reading, read-in-2017, general-fiction, read-2014, love"
186,37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.04,381080,503,"to-read, borrowed, ebook, book-to-movie, historical-fic"
187,24770,"Uglies (Uglies, #1)",Scott Westerfeld,3.86,449073,795,"to-read, action, reviewed, have, borrowed"
188,10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,365954,833,"to-read, wish-list, own-it, american, read-in-2016"
189,33,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.47,389054,423,"to-read, faves, unfinished, on-hold, favourite-books"
190,12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.96,379872,823,"currently-reading, american, 2015-books, biographical, feminism"
191,472331,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",4.35,398018,387,"to-read, speculative-fiction, graphic-novel-comic, favorite, sequential-art"
192,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.55,400101,1050,"to-read, must-read, read-2015, sci-fi-and-fantasy, romance"
193,3228917,Outliers: The Story of Success,Malcolm Gladwell,4.11,353011,665,"to-read, read-in-2014, personal-growth, borrowed, cultural-studies"
194,153747,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",3.46,358050,744,"to-read, books, home-library, american-classics, didn-t-finish"
195,2728527,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.12,393626,779,"to-read, recommended, borrowed, re-read, i-own"
196,5759,Fight Club,Chuck Palahniuk,4.2,365349,762,"to-read, read-in-2013, transgressive, 1990s, transgressive-fiction"
197,301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,420764,305,"to-read, dnf, part-of-a-series, novels, fae"
198,11486,The Color Purple,Alice Walker,4.17,376766,687,"to-read, read-harder-2017, saw-the-movie, lgbtqia, have"
199,12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,367304,209,"to-read, my-favorites, biography-autobiography, have, animal-books"
200,16299,And Then There Were None,Agatha Christie,4.23,408983,455,"to-read, wish-list, reread, own-it, 2016-reading-challenge"
